"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-4234.06657997009,-2141.51732626571,-1442.62922544842,-1090.68592296181,-878.174610864254,-735.820627036883,-633.260074090135,-556.133875023203,-496.38594247822,-448.122224786543,-408.80795752599
"2",-380.772779719144,-351.614897836833,-326.58721420132,-304.864666713833,-285.85022047084,-269.079687309173,-254.16109023848,-240.854757019188,-228.978374658865,-218.178617846894,-208.457436920693
"3",-199.424000403141,-191.161068634987,-183.530585715392,-176.478685895292,-169.955758910664,-163.894213673259,-158.260034087117,-153.007669626279,-148.095524838968,-143.542751053851,-139.321032124702
"4",-135.249466142529,-131.398132188325,-127.760862911744,-124.308008724473,-121.0485607911,-117.950905553707,-115.026915090676,-112.24202033385,-109.601022219548,-107.108465041003,-104.779528907299
"5",-102.459892059819,-100.244333702344,-98.1120174569372,-96.0696896912755,-94.1126002755382,-92.2402200527573,-90.4432232958334,-88.7214072639376,-87.0711468949385,-85.5222996563535,-84.0225563038425
"6",-82.5283784943148,-81.0847121660235,-79.6867120651186,-78.3388501924317,-77.0410281412982,-75.7866206975551,-74.5743224713532,-73.4227144864998,-72.3080179023682,-71.2518957540074,-70.2141903901642
"7",-69.1678832935804,-68.1514331692266,-67.1653125179833,-66.2078960018612,-65.2831339491178,-64.3801638034598,-63.5116273936399,-62.6720769648405,-61.8540056912843,-61.0779073770223,-60.3331353908467
"8",-59.5598089912081,-58.8060810790242,-58.0724881471245,-57.3595130729207,-56.6652507130342,-55.9876208001319,-55.3385129865958,-54.7064523779133,-54.091168349487,-53.4953857604899,-52.931896348327
"9",-52.3394444300874,-51.7588405007502,-51.1914417383765,-50.6368200755121,-50.0969038820038,-49.5720475338132,-49.0618864407172,-48.5740966060469,-48.0899922376857,-47.6374935083423,-47.1840337976993
"10",-46.7162869500512,-46.2554504063026,-45.8042566903833,-45.3669180865993,-44.939668541787,-44.5217002029105,-44.1158310399917,-43.7220357393054,-43.34101951492,-42.9731045485845,-42.6032348729294
"11",-42.2238292577202,-41.8492931056857,-41.4828226874474,-41.127081033925,-40.7776533659811,-40.4384262448101,-40.1042576109793,-39.7773132534257,-39.4603650427626,-39.1441990854038,-38.8434863015565
